Date,0669.HK,2285.HK
2015-12-01,123.50597609561753,
2015-12-02,120.91633466135458,
2015-12-03,120.91633466135458,
2015-12-04,118.72509960159363,
2015-12-07,119.3227091633466,
2015-12-08,118.12749003984062,
2015-12-09,119.52191235059759,
2015-12-10,119.52191235059759,
2015-12-11,120.5179282868526,
2015-12-14,118.52589641434261,
2015-12-15,118.52589641434261,
2015-12-16,120.7171314741036,
2015-12-17,125.2988047808765,
2015-12-18,123.10756972111551,
2015-12-21,121.71314741035857,
2015-12-22,123.70517928286853,
2015-12-23,123.50597609561753,
2015-12-24,124.1035856573705,
2015-12-25,124.1035856573705,
2015-12-28,123.10756972111551,
2015-12-29,124.1035856573705,
2015-12-30,126.29482071713147,
2015-12-31,125.89641434262948,
2016-01-04,123.50597609561753,
2016-01-05,125.4980079681275,
2016-01-06,126.29482071713147,
2016-01-07,126.89243027888446,
2016-01-08,122.90836653386454,
2016-01-11,117.13147410358565,
2016-01-12,118.32669322709162,
2016-01-13,121.11553784860556,
2016-01-14,117.92828685258965,
2016-01-15,120.31872509960158,
2016-01-18,117.72908366533865,
2016-01-19,119.9203187250996,
2016-01-20,117.72908366533865,
2016-01-21,118.12749003984062,
2016-01-22,117.33067729083663,
2016-01-25,119.1235059760956,
2016-01-26,118.72509960159363,
2016-01-27,120.31872509960158,
2016-01-28,119.3227091633466,
2016-01-29,116.73306772908364,
2016-02-01,117.13147410358565,
2016-02-02,116.93227091633467,
2016-02-03,113.74501992031871,
2016-02-04,118.32669322709162,
2016-02-05,115.53784860557768,
2016-02-15,109.5617529880478,
2016-02-16,108.56573705179282,
2016-02-17,110.75697211155378,
2016-02-18,112.74900398406373,
2016-02-19,111.95219123505976,
2016-02-22,113.94422310756973,
2016-02-23,111.15537848605577,
2016-02-24,116.73306772908364,
2016-02-25,115.73705179282867,
2016-02-26,120.5179282868526,
2016-02-29,118.32669322709162,
2016-03-01,117.72908366533865,
2016-03-02,120.7171314741036,
2016-03-03,121.71314741035857,
2016-03-04,122.50996015936255,
2016-03-07,116.33466135458166,
2016-03-08,116.73306772908364,
2016-03-09,118.52589641434261,
2016-03-10,115.33864541832668,
2016-03-11,117.33067729083663,
2016-03-14,118.72509960159363,
2016-03-15,121.11553784860556,
2016-03-16,117.72908366533865,
2016-03-17,119.3227091633466,
2016-03-18,119.1235059760956,
2016-03-21,121.91235059760956,
2016-03-22,120.91633466135458,
2016-03-23,122.70916334661355,
2016-03-24,123.70517928286853,
2016-03-25,123.70517928286853,
2016-03-28,123.70517928286853,
2016-03-29,120.11952191235058,
2016-03-30,121.51394422310757,
2016-03-31,122.11155378486053,
2016-04-01,120.7171314741036,
2016-04-05,118.12749003984062,
2016-04-06,120.7171314741036,
2016-04-07,120.5179282868526,
2016-04-08,119.7211155378486,
2016-04-11,121.31474103585656,
2016-04-12,121.91235059760956,
2016-04-13,120.31872509960158,
2016-04-14,120.7171314741036,
2016-04-15,122.11155378486053,
2016-04-18,121.51394422310757,
2016-04-19,120.91633466135458,
2016-04-20,118.12749003984062,
2016-04-21,119.7211155378486,
2016-04-22,117.13147410358565,
2016-04-25,116.33466135458166,
2016-04-26,119.7211155378486,
2016-04-27,116.73306772908364,
2016-04-28,116.33466135458166,
2016-04-29,116.13545816733067,
2016-05-03,115.9362549800797,
2016-05-04,117.92828685258965,
2016-05-05,118.52589641434261,
2016-05-06,116.73306772908364,
2016-05-09,117.92828685258965,
2016-05-10,120.7171314741036,
2016-05-11,122.11155378486053,
2016-05-12,122.70916334661355,
2016-05-13,124.7011952191235,
2016-05-16,124.9003984063745,
2016-05-17,123.90438247011953,
2016-05-18,125.2988047808765,
2016-05-19,121.11553784860556,
2016-05-20,121.71314741035857,
2016-05-23,121.31474103585656,
2016-05-24,120.91633466135458,
2016-05-25,122.11155378486053,
2016-05-26,121.51394422310757,
2016-05-27,122.70916334661355,
2016-05-30,123.50597609561753,
2016-05-31,124.5019920318725,
2016-06-01,125.09960159362548,
2016-06-02,126.09561752988046,
2016-06-03,124.9003984063745,
2016-06-06,126.89243027888446,
2016-06-07,125.89641434262948,
2016-06-08,123.10756972111551,
2016-06-13,122.11155378486053,
2016-06-14,120.5179282868526,
2016-06-15,120.11952191235058,
2016-06-16,120.5179282868526,
2016-06-17,123.90438247011953,
2016-06-20,121.11553784860556,
2016-06-21,122.31075697211153,
2016-06-22,122.11155378486053,
2016-06-23,122.31075697211153,
2016-06-24,120.5179282868526,
2016-06-27,123.70517928286853,
2016-06-28,121.71314741035857,
2016-06-29,125.89641434262948,
2016-06-30,128.4860557768924,
2016-07-01,128.4860557768924,
2016-07-04,130.0796812749004,
2016-07-05,129.28286852589642,
2016-07-06,130.0796812749004,
2016-07-07,129.28286852589642,
2016-07-08,130.4780876494024,
2016-07-11,132.47011952191235,
2016-07-12,135.85657370517927,
2016-07-13,133.26693227091636,
2016-07-14,134.4621513944223,
2016-07-15,131.27490039840637,
2016-07-18,131.87250996015936,
2016-07-19,133.6653386454183,
2016-07-20,134.0637450199203,
2016-07-21,132.86852589641433,
2016-07-22,132.47011952191235,
2016-07-25,132.6693227091633,
2016-07-26,134.26294820717132,
2016-07-27,133.46613545816732,
2016-07-28,132.47011952191235,
2016-07-29,130.87649402390437,
2016-08-01,133.26693227091636,
2016-08-02,133.26693227091636,
2016-08-03,130.87649402390437,
2016-08-04,132.47011952191235,
2016-08-05,134.4621513944223,
2016-08-08,133.6653386454183,
2016-08-09,133.46613545816732,
2016-08-10,134.26294820717132,
2016-08-11,133.46613545816732,
2016-08-12,134.26294820717132,
2016-08-15,132.47011952191235,
2016-08-16,135.85657370517927,
2016-08-17,135.85657370517927,
2016-08-18,124.7011952191235,
2016-08-19,121.51394422310757,
2016-08-22,123.30677290836651,
2016-08-23,121.71314741035857,
2016-08-24,120.91633466135458,
2016-08-25,122.31075697211153,
2016-08-26,123.30677290836651,
2016-08-29,124.30278884462152,
2016-08-30,124.1035856573705,
2016-08-31,125.2988047808765,
2016-09-01,123.50597609561753,
2016-09-02,120.7171314741036,
2016-09-05,121.31474103585656,
2016-09-06,121.11553784860556,
2016-09-07,121.11553784860556,
2016-09-08,121.51394422310757,
2016-09-09,120.5179282868526,
2016-09-12,118.92430278884463,
2016-09-13,116.93227091633467,
2016-09-14,115.9362549800797,
2016-09-19,118.92430278884463,
2016-09-20,117.33067729083663,
2016-09-21,117.33067729083663,
2016-09-22,117.52988047808763,
2016-09-23,116.93227091633467,
2016-09-26,115.9362549800797,
2016-09-27,117.92828685258965,
2016-09-28,116.53386454183266,
2016-09-29,118.12749003984062,
2016-09-30,120.7171314741036,
2016-10-10,120.5179282868526,
2016-10-11,120.5179282868526,
2016-10-12,121.71314741035857,
2016-10-13,120.7171314741036,
2016-10-14,120.5179282868526,
2016-10-17,119.3227091633466,
2016-10-18,120.31872509960158,
2016-10-19,122.70916334661355,
2016-10-20,123.10756972111551,
2016-10-21,123.10756972111551,
2016-10-24,120.11952191235058,
2016-10-25,118.92430278884463,
2016-10-26,115.53784860557768,
2016-10-27,115.73705179282867,
2016-10-28,115.13944223107569,
2016-10-31,116.33466135458166,
2016-11-01,115.33864541832668,
2016-11-02,113.74501992031871,
2016-11-03,112.74900398406373,
2016-11-04,113.14741035856572,
2016-11-07,116.33466135458166,
2016-11-08,119.3227091633466,
2016-11-09,115.13944223107569,
2016-11-10,113.54581673306771,
2016-11-11,113.74501992031871,
2016-11-14,109.96015936254979,
2016-11-15,111.15537848605577,
2016-11-16,114.5418326693227,
2016-11-17,115.9362549800797,
2016-11-18,114.3426294820717,
2016-11-21,114.9402390438247,
2016-11-22,115.33864541832668,
2016-11-23,118.12749003984062,
2016-11-24,117.92828685258965,
2016-11-25,116.93227091633467,
2016-11-28,115.9362549800797,
2016-11-29,118.52589641434261,
2016-11-30,120.5179282868526,
2016-12-01,121.91235059760956,
2016-12-02,121.71314741035857,
2016-12-05,118.72509960159363,
2016-12-06,117.72908366533865,
2016-12-07,117.72908366533865,
2016-12-08,119.7211155378486,
2016-12-09,116.53386454183266,
2016-12-12,113.54581673306771,
2016-12-13,113.74501992031871,
2016-12-14,118.12749003984062,
2016-12-15,115.9362549800797,
2016-12-16,113.14741035856572,
2016-12-19,112.15139442231074,
2016-12-20,112.74900398406373,
2016-12-21,114.5418326693227,
2016-12-22,112.94820717131473,
2016-12-23,111.15537848605577,
2016-12-26,111.15537848605577,
2016-12-27,111.15537848605577,
2016-12-28,110.15936254980079,
2016-12-29,109.5617529880478,
2016-12-30,110.75697211155378,
2017-01-03,114.5418326693227,
2017-01-04,111.55378486055776,
2017-01-05,113.54581673306771,
2017-01-06,110.95617529880477,
2017-01-09,110.55776892430278,
2017-01-10,112.15139442231074,
2017-01-11,110.75697211155378,
2017-01-12,108.56573705179282,
2017-01-13,106.17529880478087,
2017-01-16,103.98406374501991,
2017-01-17,105.77689243027888,
2017-01-18,108.96414342629481,
2017-01-19,111.55378486055776,
2017-01-20,111.15537848605577,
2017-01-23,110.95617529880477,
2017-01-24,108.36653386454182,
2017-01-25,106.57370517928287,
2017-01-26,107.76892430278883,
2017-02-03,102.98804780876493,
2017-02-06,104.7808764940239,
2017-02-07,104.9800796812749,
2017-02-08,109.7609561752988,
2017-02-09,110.75697211155378,
2017-02-10,108.76494023904382,
2017-02-13,108.16733067729083,
2017-02-14,109.5617529880478,
2017-02-15,111.75298804780876,
2017-02-16,114.1434262948207,
2017-02-17,109.7609561752988,
2017-02-20,111.95219123505976,
2017-02-21,110.95617529880477,
2017-02-22,113.54581673306771,
2017-02-23,113.94422310756973,
2017-02-24,113.14741035856572,
2017-02-27,111.95219123505976,
2017-02-28,110.75697211155378,
2017-03-01,111.95219123505976,
2017-03-02,115.9362549800797,
2017-03-03,116.73306772908364,
2017-03-06,117.52988047808763,
2017-03-07,115.73705179282867,
2017-03-08,116.33466135458166,
2017-03-09,117.33067729083663,
2017-03-10,115.9362549800797,
2017-03-13,116.53386454183266,
2017-03-14,117.52988047808763,
2017-03-15,125.69721115537848,
2017-03-16,126.69322709163346,
2017-03-17,127.88844621513944,
2017-03-20,127.88844621513944,
2017-03-21,127.68924302788842,
2017-03-22,127.09163346613546,
2017-03-23,128.08764940239044,
2017-03-24,127.09163346613546,
2017-03-27,122.90836653386454,
2017-03-28,125.09960159362548,
2017-03-29,123.30677290836651,
2017-03-30,123.50597609561753,
2017-03-31,125.2988047808765,
2017-04-05,127.88844621513944,
2017-04-06,128.4860557768924,
2017-04-07,128.6852589641434,
2017-04-10,127.49003984063745,
2017-04-11,129.4820717131474,
2017-04-12,130.27888446215138,
2017-04-13,129.28286852589642,
2017-04-14,129.28286852589642,
2017-04-17,129.28286852589642,
2017-04-18,127.68924302788842,
2017-04-19,128.6852589641434,
2017-04-20,128.08764940239044,
2017-04-21,128.28685258964143,
2017-04-24,129.4820717131474,
2017-04-25,130.4780876494024,
2017-04-26,132.07171314741035,
2017-04-27,133.06772908366534,
2017-04-28,133.06772908366534,
2017-05-02,138.0478087649402,
2017-05-03,138.0478087649402,
2017-05-04,137.45019920318725,
2017-05-05,136.85258964143426,
2017-05-08,140.6374501992032,
2017-05-09,142.62948207171314,
2017-05-10,140.6374501992032,
2017-05-11,138.84462151394422,
2017-05-12,138.84462151394422,
2017-05-15,138.44621513944222,
2017-05-16,138.44621513944222,
2017-05-17,142.23107569721117,
2017-05-18,138.6454183266932,
2017-05-19,137.64940239043824,
2017-05-22,139.84063745019918,
2017-05-23,139.4422310756972,
2017-05-24,138.24701195219126,
2017-05-25,139.84063745019918,
2017-05-26,141.63346613545815,
2017-05-31,146.81274900398407,
2017-06-01,145.01992031872507,
2017-06-02,145.01992031872507,
2017-06-05,145.21912350597609,
2017-06-06,144.22310756972112,
2017-06-07,145.61752988047806,
2017-06-08,144.42231075697208,
2017-06-09,144.6215139442231,
2017-06-12,143.42629482071712,
2017-06-13,145.21912350597609,
2017-06-14,144.8207171314741,
2017-06-15,144.42231075697208,
2017-06-16,143.42629482071712,
2017-06-19,144.6215139442231,
2017-06-20,144.22310756972112,
2017-06-21,143.6254980079681,
2017-06-22,145.01992031872507,
2017-06-23,142.43027888446213,
2017-06-26,143.02788844621512,
2017-06-27,144.42231075697208,
2017-06-28,142.82868525896416,
2017-06-29,141.83266932270917,
2017-06-30,143.02788844621512,
2017-07-03,144.42231075697208,
2017-07-04,143.82470119521912,
2017-07-05,142.03187250996015,
2017-07-06,143.02788844621512,
2017-07-07,145.41832669322707,
2017-07-10,145.41832669322707,
2017-07-11,143.82470119521912,
2017-07-12,142.62948207171314,
2017-07-13,144.42231075697208,
2017-07-14,145.21912350597609,
2017-07-17,149.20318725099602,
2017-07-18,148.40637450199205,
2017-07-19,148.40637450199205,
2017-07-20,146.61354581673305,
2017-07-21,143.6254980079681,
2017-07-24,142.03187250996015,
2017-07-25,145.81673306772907,
2017-07-26,144.22310756972112,
2017-07-27,140.8366533864542,
2017-07-28,136.65338645418325,
2017-07-31,138.44621513944222,
2017-08-01,139.0438247011952,
2017-08-02,135.85657370517927,
2017-08-03,134.6613545816733,
2017-08-04,135.85657370517927,
2017-08-07,139.24302788844622,
2017-08-08,138.84462151394422,
2017-08-09,136.25498007968127,
2017-08-10,136.25498007968127,
2017-08-11,133.86454183266932,
2017-08-14,137.84860557768923,
2017-08-15,137.45019920318725,
2017-08-16,140.0398406374502,
2017-08-17,153.5856573705179,
2017-08-18,150.199203187251,
2017-08-21,152.58964143426292,
2017-08-22,153.38645418326692,
2017-08-23,153.38645418326692,
2017-08-24,154.78087649402391,
2017-08-25,157.56972111553782,
2017-08-28,158.76494023904382,
2017-08-29,159.3625498007968,
2017-08-30,161.95219123505976,
2017-08-31,161.35458167330677,
2017-09-01,161.75298804780874,
2017-09-04,161.15537848605578,
2017-09-05,160.75697211155378,
2017-09-06,161.35458167330677,
2017-09-07,160.95617529880477,
2017-09-08,158.76494023904382,
2017-09-11,162.35059760956173,
2017-09-12,164.94023904382468,
2017-09-13,162.74900398406373,
2017-09-14,162.74900398406373,
2017-09-15,161.95219123505976,
2017-09-18,161.95219123505976,
2017-09-19,162.54980079681275,
2017-09-20,165.93625498007967,
2017-09-21,164.3426294820717,
2017-09-22,163.34661354581672,
2017-09-25,159.56175298804777,
2017-09-26,161.75298804780874,
2017-09-27,164.3426294820717,
2017-09-28,165.53784860557766,
2017-09-29,166.13545816733068,
2017-10-09,173.10756972111554,
2017-10-10,172.31075697211153,
2017-10-11,171.11553784860558,
2017-10-12,170.71713147410358,
2017-10-13,171.51394422310756,
2017-10-16,173.5059760956175,
2017-10-17,178.28685258964143,
2017-10-18,174.70119521912352,
2017-10-19,174.10358565737053,
2017-10-20,175.0996015936255,
2017-10-23,180.87649402390437,
2017-10-24,176.09561752988049,
2017-10-25,176.49402390438246,
2017-10-26,175.0996015936255,
2017-10-27,175.49800796812747,
2017-10-30,176.49402390438246,
2017-10-31,182.27091633466134,
2017-11-01,182.07171314741035,
2017-11-02,184.46215139442228,
2017-11-03,180.47808764940237,
2017-11-06,174.90039840637448,
2017-11-07,176.29482071713147,
2017-11-08,182.47011952191232,
2017-11-09,184.0637450199203,
2017-11-10,183.26693227091633,
2017-11-13,178.68525896414343,
2017-11-14,177.88844621513942,
2017-11-15,182.66932270916334,
2017-11-16,181.47410358565733,
2017-11-17,187.84860557768923,
2017-11-20,192.43027888446213,
2017-11-21,192.82868525896413,
2017-11-22,187.05179282868528,
2017-11-23,181.0756972111554,
2017-11-24,183.4661354581673,
2017-11-27,182.07171314741035,
2017-11-28,179.28286852589642,
2017-11-29,179.28286852589642,
2017-11-30,179.88047808764938,
2017-12-01,181.67330677290835,
2017-12-04,179.0836653386454,
2017-12-05,181.0756972111554,
2017-12-06,178.8844621513944,
2017-12-07,176.69322709163347,
2017-12-08,182.86852589641433,
2017-12-11,189.04382470119523,
2017-12-12,187.25099601593624,
2017-12-13,188.84462151394422,
2017-12-14,183.4661354581673,
2017-12-15,183.86454183266932,
2017-12-18,181.27490039840637,
2017-12-19,188.24701195219123,
2017-12-20,186.45418326693223,
2017-12-21,197.21115537848604,
2017-12-22,196.61354581673308,
2017-12-25,196.61354581673308,
2017-12-26,196.61354581673308,
2017-12-27,196.21513944223105,
2017-12-28,199.003984063745,
2017-12-29,202.98804780876495,
2018-01-02,208.5657370517928,
2018-01-03,209.1633466135458,
2018-01-04,205.37848605577688,
2018-01-05,205.1792828685259,
2018-01-08,205.1792828685259,
2018-01-09,204.9800796812749,
2018-01-10,208.36653386454182,
2018-01-11,202.39043824701196,
2018-01-12,198.00796812749005,
2018-01-15,195.81673306772907,
2018-01-16,196.41434262948206,
2018-01-17,199.203187250996,
2018-01-18,197.21115537848604,
2018-01-19,199.203187250996,
2018-01-22,204.18326693227093,
2018-01-23,202.78884462151393,
2018-01-24,197.21115537848604,
2018-01-25,196.21513944223105,
2018-01-26,199.80079681274898,
2018-01-29,205.1792828685259,
2018-01-30,203.58565737051794,
2018-01-31,207.56972111553785,
2018-02-01,203.18725099601593,
2018-02-02,198.40637450199202,
2018-02-05,197.01195219123505,
2018-02-06,184.0637450199203,
2018-02-07,183.66533864541833,
2018-02-08,188.44621513944222,
2018-02-09,184.0637450199203,
2018-02-12,185.25896414342628,
2018-02-13,188.44621513944222,
2018-02-14,190.83665338645417,
2018-02-22,195.21912350597609,
2018-02-23,197.21115537848604,
2018-02-26,194.42231075697208,
2018-02-27,197.21115537848604,
2018-02-28,195.6175298804781,
2018-03-01,194.42231075697208,
2018-03-02,190.0398406374502,
2018-03-05,183.26693227091633,
2018-03-06,185.85657370517927,
2018-03-07,178.8844621513944,
2018-03-08,190.6374501992032,
2018-03-09,191.83266932270914,
2018-03-12,199.601593625498,
2018-03-13,193.22709163346613,
2018-03-14,188.84462151394422,
2018-03-15,182.07171314741035,
2018-03-16,182.47011952191232,
2018-03-19,184.46215139442228,
2018-03-20,186.65338645418325,
2018-03-21,187.25099601593624,
2018-03-22,183.26693227091633,
2018-03-23,173.70517928286853,
2018-03-26,173.90438247011951,
2018-03-27,184.86055776892428,
2018-03-28,178.8844621513944,
2018-03-29,182.27091633466134,
2018-03-30,182.27091633466134,
2018-04-02,182.27091633466134,
2018-04-03,178.8844621513944,
2018-04-04,170.31872509960158,
2018-04-09,172.90836653386452,
2018-04-10,178.08764940239044,
2018-04-11,178.4860557768924,
2018-04-12,179.28286852589642,
2018-04-13,177.49003984063742,
2018-04-16,173.30677290836653,
2018-04-17,173.90438247011951,
2018-04-18,176.69322709163347,
2018-04-19,179.0836653386454,
2018-04-20,176.69322709163347,
2018-04-23,170.71713147410358,
2018-04-24,171.71314741035857,
2018-04-25,168.9243027888446,
2018-04-26,177.49003984063742,
2018-04-27,186.05577689243026,
2018-05-02,184.46215139442228,
2018-05-03,184.26294820717132,
2018-05-04,179.6812749003984,
2018-05-07,178.68525896414343,
2018-05-08,180.67729083665338,
2018-05-09,184.6613545816733,
2018-05-10,186.85258964143426,
2018-05-11,190.83665338645417,
2018-05-14,198.804780876494,
2018-05-15,196.61354581673308,
2018-05-16,193.62549800796813,
2018-05-17,192.43027888446213,
2018-05-18,192.03187250996018,
2018-05-21,195.81673306772907,
2018-05-22,195.81673306772907,
2018-05-23,195.0199203187251,
2018-05-24,193.42629482071712,
2018-05-25,195.6175298804781,
2018-05-28,194.82071713147408,
2018-05-29,194.2231075697211,
2018-05-30,187.45019920318725,
2018-05-31,187.45019920318725,
2018-06-01,187.64940239043824,
2018-06-04,190.83665338645417,
2018-06-05,188.44621513944222,
2018-06-06,188.24701195219123,
2018-06-07,188.6454183266932,
2018-06-08,184.0637450199203,
2018-06-11,186.45418326693223,
2018-06-12,186.05577689243026,
2018-06-13,187.64940239043824,
2018-06-14,188.24701195219123,
2018-06-15,185.0597609561753,
2018-06-19,178.08764940239044,
2018-06-20,175.89641434262947,
2018-06-21,173.70517928286853,
2018-06-22,175.49800796812747,
2018-06-25,172.31075697211153,
2018-06-26,173.90438247011951,
2018-06-27,171.71314741035857,
2018-06-28,166.53386454183266,
2018-06-29,174.30278884462152,
2018-07-02,174.30278884462152,
2018-07-03,176.29482071713147,
2018-07-04,172.90836653386452,
2018-07-05,168.9243027888446,
2018-07-06,173.10756972111554,
2018-07-09,179.0836653386454,
2018-07-10,174.50199203187248,
2018-07-11,173.70517928286853,
2018-07-12,166.33466135458167,
2018-07-13,171.11553784860558,
2018-07-16,170.71713147410358,
2018-07-17,168.32669322709162,
2018-07-18,169.12350597609563,
2018-07-19,167.52988047808765,
